id,citation_count_without_self_citations,citation_count,number_of_pages,preprint_date,author_count,refereed,document_type,publication_type,number_of_references
1459726,10,20,20.0,1995-03-28,3,True,article,research,41
1459842,4,4,5.0,1995-04-07,2,True,article,research,19
1460442,47,51,6.0,1995-01-17,2,True,article,research,17
392718,1,1,12.0,1995-01-01,2,False,conference paper,research,16
397533,65,67,4.0,1995-07-01,2,True,article,research,17
1459706,21,26,4.0,1995-05-08,3,True,article,research,11
393775,14,17,15.0,1995-03-01,1,True,conference paper,review,55
398986,39,51,7.0,1995-09-01,5,True,article,research,26
402332,7,16,24.0,1995-04-01,2,True,article,research,23
1342572,2,6,15.0,1995-02-28,2,False,conference paper,research,21
1485609,0,0,7.0,1995-01-26,3,False,conference paper,research,19
1459669,10,12,6.0,1995-06-23,3,True,article,research,20
397877,67,96,6.0,1995-08-01,5,True,article,research,20
392674,12,14,6.0,1995-02-01,2,True,article,research,16
392676,20,26,26.0,1995-02-01,2,True,conference paper,research,46
1459678,61,73,18.0,1995-01-08,2,True,article,research,36
394431,151,162,26.0,1995-04-01,3,True,article,research,21
392650,0,0,7.0,1995-02-08,1,False,conference paper,research,28
397772,170,190,33.0,1995-01-01,3,True,article,research,7
392188,2,3,14.0,1995-01-01,2,True,conference paper,research,20
392900,66,66,56.0,1995-02-01,1,True,article,review,14
394902,411,412,7.0,1995-05-08,2,True,article,research,13
399048,23,35,27.0,1995-09-01,5,True,article,research,14
396859,517,577,4.0,1995-05-01,4,True,article,research,20
398612,4,5,10.0,1995-08-01,4,True,article,research,17
397168,15,16,31.0,1995-07-01,3,True,article,research,18
398245,19,21,14.0,1995-08-01,2,True,article,research,19
413954,6,7,7.0,1995-03-01,2,True,article,research,37
414065,12,30,13.0,1995-06-01,3,True,article,research,31
394401,22,31,8.0,1995-04-01,4,True,article,research,26
400076,10,19,8.0,1995-09-01,2,True,article,research,24
393360,6,6,20.0,1995-02-01,3,True,article,research,31
395885,47,77,11.0,1995-06-01,2,True,article,research,37
398191,233,289,47.0,1995-07-01,3,True,article,research,45
